mac_addr,loc1,loc2,loc3,loc4,loc5,loc6
a8:9d:21:1d:f1:01,-68.66666666666667,-85.5,-88.80952380952381,-71.61904761904762,-77.15,-56.142857142857146
a8:9d:21:1d:f1:0e,-63.666666666666664,-80.23809523809524,-83.21428571428571,-59.333333333333336,-72.47619047619048,-47.714285714285715
a8:9d:21:1d:f1:31,-84.04761904761905,-71.61904761904762,-87.61904761904762,-68.3157894736842,-51.57142857142857,-73.15
a8:9d:21:1d:f1:3e,-78.4,-65.33333333333333,-78.31818181818181,-53.904761904761905,-45.38095238095238,-50.61904761904762
a8:9d:21:3a:82:b1,-64.35,-66.95238095238095,-67.63636363636364,-88.38095238095238,-71.52380952380952,-80.61904761904762
a8:9d:21:3a:82:be,-44.476190476190474,-55.95238095238095,-53.95454545454545,-76.88888888888889,-65.28571428571429,-71.80952380952381
a8:9d:21:3c:47:01,-91.0,-79.85714285714286,-67.95238095238095,-55.714285714285715,-65.9047619047619,-65.66666666666667
a8:9d:21:3c:47:0e,-87.73684210526316,-73.47619047619048,-69.5909090909091,-52.714285714285715,-62.19047619047619,-73.57142857142857
a8:9d:21:3e:3f:f1,-69.95238095238095,-56.04761904761905,-63.76190476190476,-83.47368421052632,-76.23809523809524,-85.0952380952381
a8:9d:21:3e:3f:fe,-63.95238095238095,-55.04761904761905,-59.13636363636363,-79.55,-76.80952380952381,-84.0
